Unnamed: 0,제목,날짜,본문
10,"'이루다'와의 못 다 이룬 同行, 인공지능(AI) 윤리와 규범적 대응의 방향은",2021.01.25.,"*본 칼럼은 최근 불거진 AI챗봇 이루다 논란과 연관해 (1)인공지능 윤리 차원의 혐오 및 차별 대화 사례와 (2)개인정보 수집 및 처리 관행 관련 문제로 나누어 두 차례 게재된다. 정원준 박사는 인공지능, 데이터 등 ICT 분야의 법제 분석과 지식재산권법을 연구하는 법제 전문가다. 현재 한국법제연구원의..."
11,잘못 배운 AI는 사회의 해악이 될 수 있다,2021.01.25.,"최근 인공지능(AI) 챗봇(Chatbot) ‘이루다’로 인해 커다란 사회적 논란이 있었다. 처음에는 이루다의 혐오 발언이 이슈가 됐는데, 이후 개인정보 유출... 아직은 올바른 윤리의식을 갖추고 대화 상대자의 잘못을 지적하거나 불법행위를 신고하는 수준에는 도달하지 못한 상태다. 이는 어느 정도 기술적인 한계..."
12,"KT, AI 석학 줄줄이 영입…“미래 사업 다진다”",2021.01.25.,"디지털 플랫폼 기업으로 도약을 꿈꾸는 KT가 인공지능(AI) 분야의 핵심 인재 영입에 나선다. KT는 로보틱스 분야의 세계적 권위자 데니스 홍 미국... 선정한 ‘AI 집중연구어워즈’를 수상했고, 3년째 공동 연구를 진행하고 있다. KT에서는 AI 최신 기술 연구개발 및 딥러닝 연구, AI 관련 사회적·윤리적..."
13,"AI 챗봇 '이루다' 논란에...방통위, 'AI 윤리규범' 구체화한다",2021.01.25.,"방통위, AI 서비스 제도개선 추진…AI 윤리규범도 구체화 인공지능(AI) 챗봇 이루다 사태로 ‘AI 윤리’ 문제가 급부상하자 방송통신위원회가 관련 제도 개선에 나선다. 방통위는 사람 중심의 AI 서비스가 제공되고, AI 서비스가 활용되는 과정에서 이용자 보호원칙이 지켜질 수 있도록, AI 윤리규범 등을..."
14,"""이루다는 성장통…AI 혁신·윤리 둘 다 지켜야"" [신현보의 데담]",2021.01.14.,"문 센터장은 향후 AI 윤리 논란을 방지하기 위해서는 ""기술과 인간이 조화를 이루면서 발전하는 방향을 찾아야 한다""며 ""AI 윤리 기준안도 '사람 중심의 인공지능'을 강조하고 있다""고 말했다. 또한 기업이 편향 없는 데이터를 수집하는 일 자체가 쉽지 않다는 점을 거론하며 이를 위한 사회적 논의도 필요한..."
15,"""'이루다'처럼 인간 차별하는 AI 막으려면 규제 강화 불가피""",2021.01.14.,"이어 그는 ""이루다 사태는 우리 사회에 잠재하는 혐오·차별 정서는 물론, 개발자 문화의 성인지 및 인권 감수성 수준을 극명하게 보여줬다""며 ""인공지능 윤리와 법적 규제의 필요성이 대두되는 결과를 낳았다""고 짚었다. 손희정 경희대 비교문화연구소 연구교수도 이루다가 애초에 편향적으로 개발됐다고..."
16,"[분석] 이루다 사건, 문제는 AI모델과 데이터 정제...GPT-3에서 예견된 사태",2021.01.14.,"급수가 있어야 활용처를 정할 수 있다. 공업용수와 식수를 같은 방식으로 다룰 수 없는 것""이라고 전했다. AI타임스 박성은 기자 sage@aitimes.com [관련기사]'이루다'와의 못 다 이룬 同行, 인공지능(AI) 윤리와 규범적 대응의 방향은 [관련기사]AI챗봇 이루다 사건, 기술보다 사람이 문제...""이루다는 어른아이"""
17,'이루다' 사태로 AI 윤리 중요성 커진 가운데 AI 윤리 전문 '한국인공지능윤리...,2021.01.26.,"학회 초대회장으로 선임된 서울교대 변순용 교수는 ""한국인공지능윤리학회는 AI 윤리에 대한 관심이 어느 때보다도 높은 이 시기에 AI 윤리에 관련 우리 사회의 미래 지향적 토대 구축을 위한 선도적 역할을 담당하는 중심학회로 자리매김하고자 한다""고 포부를 밝혔다. /채윤정 기자"
18,"[IT] ""제2 이루다 막자""…AI윤리기준 서두르는 IT업계",2021.01.27.,SKT 자사 모든 상품에 도입 KT 기존 내부기준 강화 나서 구글등 빅테크도 원칙 공개 유럽선 지난해 법제화 시동 인공지능(AI) 챗봇 '이루다'가 성차별 발언과 개인 정보 유출 의혹 등으로 서비스를 중단하면서 AI 윤리에 대한 관심이 커지고 있다. 일반 고객을 대상으로 한 AI 상품과 서비스가 늘고 있지만 AI...
19,"AI 챗봇 심심이, 나쁜말 필터기술 'DBSC' 적용… 악플 99% 탐지",2021.01.11.,"인공지능(AI) 챗봇 기업 '심심이’의 악성 글, 악플 탐지 기능에 관심이 모아진다. 최근 AI 챗봇에 대한 악용 및 윤리적 문제가 수면 위로 떠오르면서 필터링 솔루션이 주목을 받게 된 것이다. AI 챗봇의 악용 사례는 이미 지난 2016년 등장한 바 있다. 마이크로소프트(MS)가 AI 챗봇 '테이(Tay)'를 출시했지만..."
20,"AI로 복원한 가수, 진짜 같아진 까닭은? (영상)",2021.01.11.,"인공지능(AI)으로 고인이 된 가수를 되살리고 가상현실(VR) 속에서 사별한 부인과 남편을 다시 만나게 하는 일. 기술의 힘을 빌려 감동을 선사하는 방송... 많은 사회적 이슈, 윤리적 이슈가 있는 기술이라서 굉장히 조심스러운 기술이긴 합니다. 그래서 저희가 생각하는 것도 사회적 이슈가 될 만한 기술을..."
21,인간이 숨은 체스기계처럼…인공지능에도 혐오의 인습이 스며들었다 [이광석의...,2021.01.11.,"■윤리 마련인가 규제인가 모든 사안을 해결하기는 어려워도 기본적 ‘AI 윤리’ 가이드라인 필요 시민 데이터 권리 대책도 마련해야 세 번째 핵심 논쟁은 인공지능의 운용을 어떻게 사회적으로 관리할 것인가의 문제다. 주로 개발자들에게 철저한 윤리교육이 필요한가, 아니면 법적 규제책이 필요한가에 논의가..."
22,인공지능 윤리에 대한 순진한 생각[플랫],2021.01.11.,있다”는 인공지능 윤리에 대한 문제 제기였다. 대화형 로봇인 ‘이루다’가 ‘20대 여성’이라는 고정된 설정을 하고 있다는 것은 그중에서도 가장... 2018년 인공지능(AI) 플랫폼 회사 ‘라이브 퍼슨(Live Person)’의 CEO 로버트 로커시오는 ‘포천’에 기고한 칼럼에서 “두 살 된 딸이 아마존의 인공지능 비서...
23,"[이슈분석]AI 챗봇 '이루다' 논란, 무엇을 남겼나",2021.01.12.,정부는 지난해 말 사람 중심의 AI를 위한 '인공지능 윤리기준'을 마련해 발표했다. 글로벌 기업과 국내 대기업도 AI 윤리 가이드라인 마련에 주력한다. 마이크로소프트(MS)가 대표적이다. MS는 2016년 AI 챗봇 '테이'를 선보였다가 16시간 만에 운영을 중단했다. 10대 청소년과 대화용 챗봇이었으나 혐오와 차별...
24,'성차별 논란' AI 챗봇 '이루다' 서비스 잠정 중단,2021.01.12.,"계획으로 있습니다.] 스스로 학습하는 인공지능의 특성상 단순한 금기어 숫자 늘리기는 근본 처방이 될 수 없습니다. 양질의 데이터를 이용해 인간에게 이로운 지능을 개발해야 한다는 국제 AI 윤리 기준에 따라 인공지능을 어떻게 개발하고 사용할지, 구체적인 논의가 필요하다는 지적입니다. YTN 염혜원입니다."
25,AI 개발 현장에 윤리전문가 투입해야,2021.01.12.,"전창배 인공지능윤리협회 이사장은 ""AI윤리 전문가가 개발 과정에 참여해 진행하는 것이 필요하다""며 ""AI 학습의 빅데이터는 신뢰할 수 있고 편향적이지 않으며 합법적이어야 한다""고 말했다. 현재 소프트웨어 개발과정에서 정보보안 전문가나 개인정보보호 전문가가 필수인 것처럼 AI윤리 전문가가..."
26,[Deep & wide] 배운 대로 말한 '이루다'는 죄가 없다...문제는 AI윤리실종,2021.01.12.,"②AI의 개인정보 무단학습 두 번째 개인정보 유출 논란은 이번 사례에서 가장 심각했던 AI 윤리 문제다. 인공지능은 학습을 위해 데이터를 필수로 요하는데, 이루다에서는 개인의 SNS 메신저상의 사생활 대화들을 AI 학습을 위한 데이터로 사용했다. 문제는 이러한 개인정보 수집 시, 사용자들에게 명확한..."
27,[톺아보기]‘이루다’와 인공지능 윤리,2021.01.20.,올해 국제 전자제품 박람회(CES)에서도 인공지능의 윤리문제가 화두였다. 브래드 스미스 마이크로소프트 CLO (최고 법률책임자)는 “AI가 모든 걸 약속하는 것 같지만 우리는 새로운 가드레일을 마련해야 한다”면서 “인류는 기술이라는 무기를 통제할 수 있어야 한다.”고 강조했다. 문명적 전환을 맞아...
28,"천안교육청, 인공지능 데이터 분석·처리 전문 교사 양성",2021.01.12.,"2021학년도 천안교육지원청은 인공지능의 활용뿐만 아니라 인공지능 윤리, 디지털문해력 향상을 위해 노력할 것""이라고 말했다. 천안교육청은 (가칭)천안AI융합교육센터 구축, 4차 산업혁명교육 연수인증제운영, 교육과정연계 AI융합교육 지원, 디지털 문해력 교육 등을 통해 인공지능 기반 4차 산업혁명교육을..."
29,AI 개발 급급해 윤리는 뒷전… 업계 “악해지지 말자” 뒤늦은 고민,2021.01.12.,2019년 10월 민간기구인 한국인공지능윤리협회가 AI 윤리헌장을 제정했고 정부도 지난해 12월 ‘AI 윤리기준’을 마련했다. 하지만 ‘인간의 존엄성’ ‘사회의 공공선’ 등을 위해 노력해야 한다는 선언적 수준에 그친다. 전문가들은 갈수록 다양해지는 AI 활용 상황에서 기본적인 윤리원칙이 어떻게 적용될...
30,"[뉴스Insight] AI 이루다 '사형선고!', ""사람이 문제다.""",2021.01.11.,"한국기업들은 11~14일 나흘간 인공지능(AI), 사물인터넷(IoT), 5세대(5G) 통신과 결합한 가전제품과 로봇, 자율주행 분야의 신기술·신제품을 쏟아냈다.... AI 이루다에게 '사형선고'가 내려진 것이나 다름없다. AI 개발과 활용 과정에서 빚어진 윤리적 문제는 세계적으로 낯선 이슈가 아니다. 마이크로소프트는..."
31,‘혐오 논란’ AI 챗봇 ‘이루다’ 서비스 잠정 중단,2021.01.11.,"소수자에 대한 혐오 발언 및 개인정보 유출 등의 논란에 휩싸인 인공지능(AI) 챗봇 ‘이루다’가 서비스를 잠정 중단한다. 이루다 개발사인 스타트업... 한국어 AI 대화 연구 및 AI 제품, 그리고 AI 윤리 발전에 유용하게 쓰일 수 있었으면 좋겠습니다. ·개인정보 활용에 관하여 본사는 이루다를 개발하는 과정에서..."
32,"[취재수첩] 사람보다 똑똑한 AI, '도덕'도 배울수 있을까",2021.01.11.,"있는 인공지능 가이드라인’을 발표하며 최종 의사결정 단계에서 오히려 인간의 역할이 중요함을 분명히 했다. 선악을 판단할 수 없는 ‘도구’를 완성하기 위해선 ‘인간’의 노력이 더 많이 필요한 것 같다. 개발자의 연구, 데이터를 만드는 사용자들의 이용 윤리, 그리고 정부의 역할도 중요하다. AI의..."
33,美·유럽·日서도 ‘AI 윤리’ 도마에… 각국 앞다퉈 규제 강화나서,2021.01.11.,"이루다 페이스북 캡처 한국에서 인공지능(AI) 챗봇 이루다가 혐오 발언·개인 정보 유출 논란을 일으킨 가운데 구미·일본에서도 AI의 윤리 문제가 화두로 부상했다. 미국, 유럽, 일본 등에서 차별 등 AI의 마이너스 측면을 무시할 수 없는 상황이 발생하면서 AI의 윤리 문제에 대한 대응이 중요한 초점이 되고..."
34,"KT, 새해 AI·로봇 특급인재 영입 총력전···‘AI로 승부수’",2021.01.20.,"또한 2018년 구글이 선정한 ‘AI 집중연구어워즈’를 수상했고, 현재까지 3년째 공동 연구를 진행하고 있다.한보형 교수는 인공지능 최신 기술 연구개발 및 딥러닝 연구, AI와 기계학습과 관련해 사회적·윤리적 이슈를 해결할 수 있는 기술개발 방향에 대한 자문역을 담당한다. 한 교수는 KT가..."
35,"KT, 새해 AI·로봇 특급인재 영입 총력전···'AI로 승부수'",2021.01.25.,"한보형 교수는 인공지능 최신 기술 연구개발 및 딥러닝 연구, AI와 기계학습과 관련해 사회적·윤리적 이슈를 해결할 수 있는 기술개발 방향에 대한 자문역을 담당한다. 한 교수는 KT가 글로벌 AI Top Tier 기업으로 도약할 수 있도록 하며, KT가 4차 산업혁명 시대를 주도해나가는 기업으로 성장할 수..."
36,"'이루다 사태'에…방통위, 연내 AI 윤리규범 실행지침 마련",2021.01.25.,"인공지능(AI) 챗봇 이루다 사태로 AI 윤리 문제가 급부상하자 방송통신위원회는 AI 윤리 확립을 위한 제도 개선 노력과 교육에 적극 나섰다. 방통위는 사람 중심의 AI 서비스가 제공되고, AI 서비스가 활용되는 과정에서 이용자 보호원칙이 지켜질 수 있도록, AI 윤리규범 등을 구체화해 제도 개선을 추진할..."
37,인공지능 챗봇 ‘이루다’…숙제만 남기고 ‘폐기 처분’,2021.01.25.,"한국인공지능윤리협회는 “AI 기업이 AI 윤리의 중요성을 인식해야 하며, 소비자도 AI 서비스를 올바르게 사용해야 한다”면서 “청소년 시기부터 AI 개발 및 사용 윤리를 가르치고, 새로운 AI 윤리 이슈를 시민에게 교육해야 한다”고 밝혔다."
38,'AI 윤리' 논쟁에 카카오의 응답…국내 첫 증오발언 근절 원칙,2021.01.25.,"이른바 '이루다 사건'으로 '디지털·인공지능(AI) 윤리' 논쟁이 뜨거운 상황에서 업계 선례로 작용할 전망이다. 카카오는 13일 공식 브런치를 통해 '증오 발언 근절을 위한 카카오의 원칙'을 내놓았다. 카카오는 ""온라인 증오 발언이 사회적 문제로 부상함에 따라 그 대응책을 마련할 필요성에 공감대가 넓어지고..."
39,"KT, 'AI'로 승부수… 국내·외 AI 석학 영입 가속화",2021.01.14.,"한보형 교수는 인공지능 최신 기술 연구개발 및 딥러닝 연구, AI와 기계학습과 관련해 사회적·윤리적 이슈를 해결할 수 있는 기술개발 방향에 대한 자문역을 담당한다. 한 교수는 KT가 글로벌 AI Top Tier 기업으로 도약할 수 있도록 하며, KT가 4차 산업혁명 시대를 주도해나가는 기업으로 성장할..."
40,"인공지능윤리협회 ""이루다, AI 윤리 어겼다…서비스 중단해야""",2021.01.14.,"학계 첫 성명…""데이터 정제 안됐다…개인정보 보호도 문제 소지"" ""소비자도 AI 윤리적으로 사용해야…초중고 AI 윤리 교육 필요"" 인공지능(AI) 챗봇 '이루다'가 동성애·장애인 혐오 및 성차별을 학습했다는 문제가 제기되면서 'AI 윤리' 논쟁이 불거지자 학계에서 ""이루다 서비스를 중단하라""는 첫 성명이..."
41,음성합성 음란물 섹테도 AI 탓? 동네북 AI,2021.01.14.,"것이 아닌데, 일반인은 AI가 사용된다고 이해하는 경향이 있다""며 ""AI 시대에는 이용자의 AI 이해도가 중요하다""고 말했다. 한국인공지능윤리협회가 발표한 윤리헌장에 따르면, AI 소비자(이용자)는 AI 제품과 서비스를 타인을 해치거나 범죄의 목적으로 사용해서는 안 되며, 올바른 방법으로 사용해야 한다."
42,"""디지코로 거듭난다"" KT, 새해 AI-로봇 특급인재 영입 '총력전'",2021.01.14.,"한 교수는 인공지능 최신 기술 연구개발 및 딥러닝 연구, AI와 기계학습과 관련해 사회적·윤리적 이슈를 해결할 수 있는 기술개발 방향에 대한 자문역할을 담당한다. 배순민 박사는 융합기술원 내 신설되는 AI2XL연구소장을 맡을 계획이다. 배순민 소장은 한국과학기술원(KAIST)에서 컴퓨터사이언스..."
43,"AI 로봇에 승부 건 KT, 인재 영입…AI 일류 목표",2021.01.13.,"한보형 교수는 인공지능 최신 기술 연구개발 및 딥러닝 연구, AI와 기계학습과 관련해 사회적ㆍ윤리적 이슈를 해결할 수 있는 기술개발 방향에 대한 자문역을 담당한다. KT의 이번 인재 영입의 키워드는 '혁신성'이다. KT는 역사상 최초로 1980년대생 연구소장을 발탁해 혁신과 창의성을 겸비한 젊은..."
44,"구글의 미래, 인공지능에 걸었다…‘알파고’ 개발자에 새 역할 기대",2021.01.25.,"스탠포드대에서 컴퓨터공학을 전공하고 그 학교의 AI연구소 몸담아왔던 게브루 박사는 지난 2019년 구글에 입사해 AI윤리사업부 공동팀장으로 일해왔다. WSJ는 결별 배경에 대해 게브루 박사가 구글의 인공지능 관련 정책을 비판하고, 동료들에게 불평한 탓이라고 전했다. 게브루 박사는 자신이 작성한..."
46,"KT, AI·로봇 특급인재 영입 가속페달... 'AI로 승부수'",2021.01.25.,"한보형 교수는 인공지능 최신 기술 연구개발 및 딥러닝 연구, AI와 기계학습과 관련해 사회적·윤리적 이슈를 해결할 수 있는 기술개발 방향에 대한 자문역을 담당한다/ KT 제공 한보형 교수는 서울대에서 컴퓨터공학 학사 및 석사 학위를 취득하고 미국 메릴랜드 주립대에서 컴퓨터과학 박사..."
47,"[전문] ""AI 윤리헌장 위배"" AI윤리협회, '이루다' 서비스 중단 요구한 이유",2021.01.25.,“인공지능(AI) 윤리 가이드라인을 지키지 못하고 출시한 AI 챗봇 서비스에 대해 한국인공지능윤리협회는 서비스 중단을 요청하며 추후 AI 윤리 가이드라인을 확인하고 적용하고 개선한 후 재출시하기를 촉구한다” 11일 한국인공지능윤리협회가 현재 논란이 되고 있는 AI 챗봇 서비스 ‘이루다’를 출시...
51,AI 채팅로봇이 던진 질문은,2021.01.25.,"새해 들어 우리 사회를 들썩이게 한 인공지능(AI) 채팅로봇 ‘이루다’로 인한 해프닝은 우리에게 많은 질문을 던져 주었다. 무엇보다 AI는 우리를... 결국 AI를 설계하고 학습시키는 당사자인 사람들의 가치관을 AI는 답습할 수밖에 없는데 정작 그를 학습시키는 우리가 그렇게 선하지도, 높은 윤리관을 갖고..."
52,"성적도구화 논란 AI 챗봇 '이루다' 서비스 중단…""개선 위해""",2021.01.25.,"최근 AI(인공지능) 윤리 논란에 휩싸인 챗봇 '이루다' 서비스가 잠정 중단되는 것으로 11일 알려졌다. 서비스 개선이 이유이다. 김종윤 스캐터랩 대표는 관련 입장을 밝히겠다고 이날 오전 언론에 공지했고, 이날 저녁 서비스 잠정 중단이라는 입장을 내놓은 것이다. 앞서 이날 한국인공지능윤리협회는 성명을..."
53,[경제시평] 윤리적 인공지능의 유용성,2021.01.11.,새해부터 인공지능(AI)에 대한 사회적 관심이 새로이 나타났다. 이루다 서비스와 관련된 AI 윤리 논란이 불거지면서 AI는 이제 기술의 영역을 넘어 사회적 규범의 영역으로 확대돼 주목받게 됐다. AI 윤리에 관해 규율하는 강력한 법제도가 필요한 것 아닌가 하는 주장이 제기되기도 한다. 한편으론 법제도에 관한...
54,"방통위, AI 윤리 지침 마련…제2의 이루다 막는다",2021.01.11.,"방송통신위원회는 사람중심의 인공지능(AI) 서비스가 제공되고 AI 서비스가 활용되는 과정에서 이용자 보호원칙이 지켜질 수 있도록 이용자·사업자 대상 교육·컨설팅을 지원하고 AI 윤리규범 등을 구체화해 제도개선을 추진할 계획이라고 14일 밝혔다. 최근 AI 채팅로봇의 혐오·차별적인 표현, AI 채팅로봇에..."
61,"인공지능 교육, 골치 아픈 수학을 어찌할까",2021.01.14.,"2학기부터 인공지능(AI)이 고교 진로 선택과목으로 들어간다. ‘인공지능 기초’와 ‘인공지능 수학’이다. 또 2025년부터는 초·중·고교 교육과정에... 들며 “인공지능이 굉장히 중요한 만큼 파급효과도 상당히 크다”며 “지나치게 상업적으로만 가면 위험하며, 인공지능 윤리 등에 대한 사회적 저변 구조를..."
62,"[IT오늘] SK텔레콤, 유전자 분석으로 불면증·복부비만 진단…KT, 데니스 홍 ...",2021.01.14.,한 교수는 KT에서 △인공지능 최신 기술 연구개발 △딥러닝 연구 △AI 관련 사회적·윤리적 이슈 해결책 등의 자문역을 담당한다. KT는 또한 설립 이래 최초로 1980년대생 연구소장을 발탁했다. 배순민 박사는 융합기술원 내 신설될 AI2XL연구소장을 맡아 AI 전략을 제시해 KT가 디지털플랫폼기업으로...
64,"KT, AI 핵심인재 영입... 양재-판교-분당 삼각벨트 구축",2021.01.25.,"사진=KT KT가 젊은 인재 영입과 집중적인 투자를 통해 미래 성장 엔진인 인공지능(AI) 분야 역량 강화에 나섰다. 양재에서 판교, 분당으로 이어지는 R&D... 박사를 AI2XL(AI To Everything Lab) 연구소장으로 영입했다. 한 교수는 AI와 기계학습과 관련해 사회적·윤리적 이슈를 해결할 수 있는 기술개발 방향 자문역을..."
65,[구현모 AI 승부수] 열쇠는 '혁신'..새해 특급인재 영입 총력,2021.01.25.,"한 교수는 인공지능 최신 기술 연구개발 및 딥러닝 연구, AI와 기계학습과 관련해 사회적·윤리적 이슈를 해결할 수 있는 기술개발 방향에 대한 자문역을 담당한다. 이번 인재 영입의 키워드는 '혁신성'이다. KT는 역사상 최초로 1980년대생 연구소장을 발탁해 혁신과 창의성을 겸비한 젊은 피를..."
69,'이루다' 사태로 AI 챗봇 '심심이' 나쁜 말 걸러주는 필터 기술 DBSC 관심,2021.01.26.,"/심심이 인공지능(AI) 챗봇 '이루다'의 개인정보 악용 및 AI 윤리 문제가 수면위로 떠오르면서 유사한 서비스를 제공하는 '심심이'이 악성 글, 악플 탐지 기능이 관심을 모으고 있다. AI 챗봇 기업 심심이는 자체 연구개발 노하우를 바탕으로 악플을 99% 이상 실시간 탐지할 수 있는 문장 분류 솔루션 'DBSC'를..."
71,"KT, AI·로봇 인재 영입 총력전…‘디지코’ 도약 박차",2021.01.26.,"한 교수는 인공지능 최신 기술 연구개발 및 딥러닝 연구, AI와 기계학습과 관련해 사회적·윤리적 이슈를 해결할 수 있는 기술개발 방향에 대한 자문역을 담당한다. 이번 인재 영입의 키워드는 ‘혁신성’이다. KT는 역사상 최초로 1980년대생인 배순민 박사를 융합기술원 내 신설되는 AI2XL..."
72,"'AI 이루다 쇼크'..방통위, 교육·법체계 손질한다",2021.01.27.,"챗봇 '이루다'가 성희롱, 혐오 발언으로 인공지능(AI) 윤리논쟁을 촉발시킨 가운데 방송통신위원회가 AI윤리규범 구체화와 법체계 정비, 교육 등 제도 개선에 나선다. 14일 방통위는 ""최근, AI 채팅로봇의 혐오·차별적인 표현, 이용자의 성희롱성 발언 등이 사회적으로 큰 논란을 일으킨 바 있다""면서 ""이와 관련..."
73,"""이루다 서비스 중단해야"" 인공지능윤리협회 성명",2021.01.25.,인공지능(AI) 윤리와 개인정보 유출 등 논란을 빚고 있는 AI 챗봇 ‘이루다’에 대해 운영 중단을 촉구하는 학계 성명이 나왔다. 한국인공지능윤리협회는 11일 오후 ‘AI 기업들에게 AI 제품 출시 전 AI 윤리 가이드라인의 자율적 준수와 검증을 촉구한다’는 제목의 성명을 내고 이같이 밝혔다. 이 협회는 AI의...
74,"KT, AI 핵심인재 영입…R&D 상생 삼각벨트도 구축",2021.01.25.,사회적·윤리적 이슈를 해결할 수 있는 기술개발 방향에 대한 자문역을 담당한다. 특히 KT는 처음으로 1980년대생인 배순민 박사를 연구소장으로 발탁했다. 배 박사는 융합기술원 내 신설되는 AI2XL 연구소장을 맡아 인공지능 1등 기술화를 위한 전략을 제시할 계획이다. KT는 AI·DX융합사업부문 인공지능 로봇...
78,"'이루다'로 불붙은 'AI 윤리' 논란, ICT업계 대책 마련 분주",2021.01.25.,특히 이루다가 AI라는 점에서 인공지능 개발 윤리에 대한 논의가 필요하다는 분위기가 확산됐다. 마이크로소프트가 2016년 공개한 AI 챗봇 '테이'와 2002년 국내 첫 AI 챗봇 '심심이'도 비슷한 이슈로 서비스를 중단하거나 논란이 불거졌기 때문이다. 국제사회는 AI 윤리 원칙을 만들며 이를 대비하고 있다....
79,"[사설]AI윤리연구, 지금도 늦었다",2021.01.25.,"인공지능(AI)윤리 준칙을 하루빨리 준비해야 한다는 지적이 나왔다. 고학수 한국인공지능법학회장(서울대 로스쿨 교수)은 최근 전자신문과의 인터뷰에서 논란이 된 AI 챗봇 '이루다' 사태를 언급하며 “AI를 도입하면서 법, 윤리, 철학 등 인문 영역이 기술과 떼려야 뗄 수 없는 문제라는 점을 알려줬다”고..."
