Unnamed: 0,제목,날짜,본문
13,[後스토리] 싹 잘린 'AI 챗봇'…이루다 과징금은 '스타트업 죽이기'?,2021.05.13.,"""저희가 한국 인공지능(AI) 발전에 있어 걸림돌을 만드는 것 아닐까 하는 고민도 있다."" 지난달 28일 AI 챗봇 '이루다' 개발사 스캐터랩에 개인정보보호위원회가 1억330만원의 과징금·과태료를 부과하기 직전 열린 전체회의에서 김종윤 스캐터랩 대표의 최후 진술이다. 미래 핵심 기술로 꼽히며 구글·페이스북 등..."
14,"'大인공지능 시대', AI가 추구해야 할 중심 가치는?",2021.05.13.,"사진은 지난 1월 혐오표현 등으로 논란이 됐던 인공지능 '이루다'./ 사진=온라인 커뮤니티 캡처, 편집=박설민 기자 하지만 AI의 편향성을 완전히 없앤다는 것은 사실상 불가능한 일이다. AI제작자인 사람조차도 편향성을 갖지 않고 살아가는 것이 힘들기 때문이다. 이에 오혜연 교수는 AI의 편향성을 완전히..."
15,"SKT, `사람 중심 AI` 컴퍼니 선언",2021.05.13.,무해성·공정성·사생활 보호 등 AI 컴퍼니 7대 추구가치 발표 자문단 구성해 전문성도 높여 AI(인공지능)와 디지털 신사업 확장에 방점을 두고 있는... 높이는 AI 활용 사례를 창출해 왔다. 빅테크 기업의 AI 윤리 제정 움직임은 최근 AI 챗봇 '이루다' 사태에서 요구되는 'AI 윤리기준 법제화' 주장과...
16,"[칼럼] 인공지능 시대의 접점에서... 사람만큼, 놀랍게 진화하는 'AI 언어' 모...",2021.05.13.,"이미지:본지DB 국내 AI스타트업 스캐터랩(대표 김종윤)의 대화형 AI '이루다'가 지난해 12월 23일 서비스를 시작한지 2주 남짓의 기간 동안, 무려 75만명에 가까운 사용자를 통해 대화형 AI 열풍을 일궈냈지만 '이루다'는 이슈와 동시에 각종 논란에 휩싸였다. 결국, 출시한지 2주 만에 인공지능 '이루다..."
17,"""AI로 치매정복, 꿈 아냐…정신의학·물리학으로 응용 넓혀야""",2021.05.13.,“인공지능(AI)의 음성인식 기술은 완성 단계에 이르렀다고 합니다. 하지만 음성인식 기술 기반 AI 비서 등이 정말 사람들에게 큰 이익을 주고... 가능한 AI 모델을 갖춰 인간과의 공동체를 이룰 수 있어야 한다”고 강조했다. 최근 AI업계에선 챗봇 서비스 ‘이루다’가 고객 개인정보를 유출하고 소수자...
18,"AI 신뢰성 확보한다… 정부, ‘사람 중심 AI 실현 전략’ 발표",2021.05.14.,최근 인공지능(AI) 챗봇 ‘이루다’가 점화시킨 인공지능 윤리 관련 논의에 정부가 가이드라인을 제시했다. 스타트업 등에 대한 지원과 신뢰성 확보를 위한 기술 개발도 추진한다. 과학기술정보통신부가 지난 13일 대통령 직속 4차산업혁명위원회 제22차 전체회의에서 사람이 중심이 되는 인공지능을 위한...
19,‘이루다’ 제재에 비정형 데이터 활용 주의보,2021.05.13.,"15일 법조계 등에 따르면, 개인정보위가 최근 인공지능(AI) 챗봇 ‘이루다’의 개발사인 스캐터랩의 카카오톡 대화 등 비정형 데이터 처리에 대해 과징금과 과태료를 합산해 총 1억330만원의 제재금을 부과하자 관련 업계의 긴장이 고조된다. 법무법인 세종은 뉴스레터를 통해 이루다 제재처분에 비춰 봤을 때..."
20,"구글, ‘AI 윤리’ 강화한다…담당 연구 인력 2배로",2021.05.12.,“AI가 윤리적으로 작동하지 않으면 사업적으로도 문제” 한국도 ‘이루다 사태’ 계기로 필요성 제기 구글이 ‘인공지능(AI) 윤리’를 강화하기 위해 담당 연구원 수를 현재 200명에서 2배인 400명으로 늘린다고 11일(현지시각) 월스트리트저널(WSJ)이 보도했다. WSJ에 따르면 매리언 크로크 구글 엔지니어링...
21,"디지털시대…""데이터 목록 쌓였지만, 실제 쓸만한 데이터 부족""",2021.05.12.,"정부는 디지털 시대로의 변화에 발맞춰 'D·N·A(데이터·네트워크·인공지능)'를 중심으로 하는 관련 정책을 제시했다. 대표적인 예로 지난해 정부가 D·N·A 생태계를 강화하겠다며 발표한 디지털 뉴딜이 있다. 디지털 뉴딜은 AI와 소프트웨어 인재 양성, 데이터댐 구축, 빅데이터 플랫폼 설립 등의 사업을 골자로..."
22,[이슈분석]메타버스 활성화 과제는,2021.05.12.,"김 본부장은 메타버스 역시 많은 부분을 인공지능(AI)에 바탕을 둘 것이기 때문에 최근 '이루다' 사태처럼 AI 윤리, 프라이버시 침해 등에 대해서 어떻게 대비할지 고민해야 한다고 말했다. 일각에서는 메타버스에서는 국경 없이 세계 이용자가 만나기 때문에 범죄 같은 문제 발생 시 해외 이용자에 대한 처분이..."
23,"‘이루다 사태’ 소송전 돌입… ‘태평양 vs태림', 태家네 형제 싸움 ‘눈길'",2021.05.13.,"인공지능(AI) 챗봇 ‘이루다’의 개인정보 유출 논란이 법정 공방으로 이어지고 있다. 정부기구인 개인정보보호위원회가 지난달말 이루다 개발사인 스캐터랩에 1억330만원의 과징금·과태료를 부과하는 등 정부 차원의 행정조치가 마무리되면서, 손해배상 청구 소송도 조만간 기일이 잡힐 것으로 보인다. 9일..."
24,"국가 'AI 실현전략' 발표…""신뢰성 높이고 민간 인증도 지원""",2021.05.13.,"뉴스토마토 = 김동현 기자 | 정부가 '신뢰받는 인공지능(AI) 환경' 구현을 목표로 기술개발, 인증 등을 지원하는 시스템을 마련한다. AI 챗봇 '이루다'를 계기로 사회 전반에 퍼진 AI 서비스에 대한 불신을 해소하고, AI 서비스가 사회에 미칠 영향도 평가할 계획이다. 과학기술정보통신부는 13일 열린..."
25,[데이터융합포럼 특별기고-10] AI와 프라이버시,2021.05.13.,여기서 가명⋅익명 처리의 목적은 데이터 처리자 즉 AI 모델 개발 단계에서 정보 주체의 프라이버시를 보호하는 것이다. 최근 채팅 AI인 이루다... 인공지능(AI)기술로 대표되는 4차산업혁명시대를 맞아 핵심 자원인 안전한 데이터 활용을 촉진하기 위해 실무적 이슈에 대해 논의하는 포럼이다. ★정보보안...
26,"안전한 사이버국가 세계 3위 목표…정부, '신뢰할 수 있는 AI 실현전략' 마련",2021.05.13.,성소수자 차별 논란을 일으킨 인공지능(AI) 챗봇 '이루다' 사태 등 이슈에 대응하기 위해 정부가 '신뢰할 수 있는 인공지능 실현전략'을 마련했다. 대통령 직속 4차산업혁명위원회는 13일 오후 서울중앙우체국에서 제22차 전체회의를 열고 '신뢰할 수 있는 인공지능 실현전략'을 심의·의결했다. 이 전략은 지난해...
27,"[변호사 외전] 최초롱 변호사 ""분노를 '법'으로 해결하도록 돕고싶어요""",2021.05.12.,"화난사람들에선 이동통신사의 5G서비스에 대한 손해배상 사건, 인공지능(AI) 챗봇 '이루다'를 통한 개인정보 유출 사건, 유해성분 검출 논란이 된 '국민 아기욕조' 사건 등 다양한 소송이 진행 중이다. 최 변호사가 4년째 플랫폼을 운영해오면서 다룬 사건은 총 86건이라고 한다. 직접 소송 절차에 참여하지는..."
28,[안혜리 논설위원이 간다]절박한 네이버가 몸을 낮췄다,2021.05.12.,네이버의 인공지능(AI) 플랫폼인 클로바 CIC 정석근 대표가 지난 4월 1일 이렇게 대면 보고를 하자 이해진 네이버 창업자(GIO·글로벌투자책임자)는... 앞선 AI 기업도 똑같이 겪는 난제들이다. 이중 편향성 해소가 가장 시급했다. 여성 혐오 논란 등으로 올 초 서비스 시작 19일 만에 퇴출당한 챗봇 '이루다...
