Unnamed: 0,제목,날짜,본문
11,네이버·LG·KT 사활 건 '전자두뇌'…초거대 AI가 뭐길래,2021.05.27.,"국내 정보통신(IT) 기업들이 앞다퉈 '초거대 인공지능(AI)'에 대규모 인력과 자금을 쏟아붓기 시작했다. 초거대 AI는 대용량 연산이 가능한 인프라를... 이어 ""기술 개발과 병행해야 하는 연구가 'AI 윤리'다. 구글이 앞으로를 내다보고 AI 윤리 연구에 자금과 인력을 쏟아붓는 이유를 국내 기업들도..."
12,"송대섭 책임리더 ""네이버 AI는 사람중심 일상도구""",2021.05.27.,"네이버가 인공지능(AI)을 ‘사람을 위한 일상의 도구’로 바라봐야 한다는 관점을 제시하고, 클로바 AI콜·클로바케어콜·클로바 램프 등 현장에서... 있는 AI도구를 소개했다. 송대섭 네이버 책임리더는 25일 온라인으로 개최된 ‘NAVER AI NOW(네이버 AI 나우)’ 컨퍼런스에서 “네이버는 AI 윤리준칙을..."
13,"구글, AI 윤리 연구팀 2배 확대 추진",2021.05.12.,구글이 인공지능(AI) 윤리를 연구하는 연구팀의 규모를 앞으로 수년에 걸쳐 2배로 확대하기로 했다. 11일(이하 현지시간) 월스트리트저널(WSJ)에 따르면 구글 엔지니어링 담당 부사장 매리언 크로크는 WSJ에 자신이 이끄는 AI 연구팀 규모가 200명으로 확대될 것이라고 밝혔다. 크로크는 아울러 구글 모기업인...
14,“인공지능(AI)에 대한 윤리규정 중요”,2021.05.12.,원격 생체인식 등을 이용한 기술이 발전하면서 AI에 대한 윤리규정의 중요성이 대두되고 있다. 최근 유럽연합(EU) 집행위원회는 인공지능 규제법안을 발표하며 AI를 이용한 안면인식 등을 엄격히 제한하고 있다.노동환경 개선 및 탄소 배출을 줄이기 위해 AI 기술을 적극 활용하는 기업들이 전 세계적으로...
15,"SKT, '인공지능(AI) 윤리' 경영시스템에 담았다",2021.05.12.,중심의 인공지능(AI)'을 핵심 이념으로 하는 AI 추구 가치를 공개했다. 'AI 추구 가치'란 AI를 활용해 고객에게 제공하고자 하는 가치다. 구성원이... 수립해 AI 추구가치를 내재화할 계획이다. SK텔레콤의 모든 서비스에도 사전 검토부터 고객의 피드백까지 AI가 적용되는 모든 단계에서 윤리성을 확보할...
16,"한국인공지능윤리협회-한국정보통신학회, AI 윤리 검인증 기준 체계·인증 가...",2021.05.12.,/한국인공지능윤리협회 한국인공지능윤리협회(KAIEA)와 한국정보통신학회(KIICE)는 '인공지능(AI) 및 인공지능 윤리 분야의 공동 연구 협력을 위한 업무협약'을 20일 체결했다고 밝혔다. 이번 업무협약을 통해 한국인공지능윤리협회와 한국정보통신학회는 인공지능과 인공지능 윤리 분야에 관한 ▲공동연구...
17,"[의료정보리더스포럼]""의료 분야 클라우드·인공지능 플랫폼 활용 대세됐다""",2021.05.13.,"“코딩을 잘 모르는 의료진도 인공지능(AI)을 연구할 수 있도록 지원합니다.” “클라우드에 라이프로그 데이터, 생체정보·유전체 데이터를 모아... 의료정보리더스포럼 의장을 맡고 있는 김경환 서울대병원 흉부외과 교수는 “의료 AI 활용을 확대하려면 의료기관이 민감한 개인정보 비식별화 등 윤리적인..."
18,'이루다'가 촉발한 AI 윤리…해외 규제 현황은[차민영의 포스트IT],2021.05.13.,'이루다 사태'를 계기로 국내에서도 인공지능(AI) 윤리 기본원칙이 제정되고 기초 단계의 실천전략이 수립됐습니다. 하지만 일각에선 'AI에게까지 도덕적 잣대를 들이대느냐'는 불편한 시각도 제기됩니다. 유럽과 미국 등 AI 기술이 발전한 해외 주요국의 규제 현황은 어떨까요. '못된 말' 논란에 사라진 세계...
19,인공지능 공동선언문,2021.05.13.,인공지능 채팅봇 [이루다] (출처: 스캐터랩) [이루다] 논란은 AI의 윤리성을 담보할 기술 수준(AI의 노예화)에 관한 쟁점과 함께 개인정보의 불법 취득과 비식별 처리된 개인정보의 불완전한 익명화(다른 식별자와 결합해 개인을 특정할 수 있는 가명정보의 문제)의 문제를 낳았다.반면 시민사회는 이미 인공지능...
20,"한국표준협회, 엘지전자에 AI+(에이아이플러스) 인증 수여",2021.05.13.,업무를 통해 AI+ 인증 경험을 바탕으로 AI 기능 별 성능지표 표준화 활동과 기업이 지켜야 할 AI 윤리 요구사항이 담긴 경영시스템 표준 개발과 AI 윤리 요구사항에 대한 인증을 추진할 계획이다. 강명수 회장은 “엘지전자가 인공지능 제품의 품질과 신뢰성을 보장하기 위한 체계를 지속적으로...
21,"[아!이뉴스] OTT ""방통위, AI 추천 규제 과도""…게임업계, 백신휴가 전면도입",2021.05.25.,"◆""AI도 차별한다""…'기업 AI 윤리' 실상은? 전세계적으로 인공지능(AI)의 차별과 편향성 문제가 불거지고 있는 가운데 각국 정부와 기업이 'AI 윤리 기준' 도입에 골몰하고 있다. 국내에서는 AI 챗봇인 '이루다 AI' 사태를 계기로 관련 논의가 급물살을 타고 있다. 이런 가운데 해외 주요 기업들의 AI 윤리 문제..."
22,"KT, 대구시교육청과 함께 미래 AI 인재양성 나섰다",2021.05.25.,"KT(대표 구현모)가 대구시교육청(교육감 강은희)이 전국 최초로 도입한 인공지능(AI) 프레임워크에 교육기관으로 참여했다. KT는 대구시교육청과... 기획한 AI 교육 프로그램이다. 대구시교육청은 지난 3월 전국 최초로 초·중·고생의 AI 이해, 활용, 윤리 함양 영역별로 이해 정도를 측정할 수 있는 학생..."
23,"씽크포비엘, 국내 첫 기술 기반 인공지능(AI) 검증 실무 교육",2021.05.13.,"사진=씽크포비엘 인공지능(AI) 편향과 데이터 샘플링 오류 문제의 기술적 해결 방안을 제시한 교육이 국내 최초로 실시됐다. 소프트웨어(SW) 공학... 최근 사회 문제로 비화한 AI 편향 문제를 놓고 윤리적·법적 해결 논의가 활발해진 상황에서, 기술적 접근을 통한 해결이 필요하다는 주장이 업계 일각에서..."
24,"""현 AI 기술 한계 극복하겠다""…정부 '차세대 AI' 개발에 3018억 투입",2021.05.13.,국내 대표 IT 기업들이 미래산업의 성장축으로 떠오르고 있는 '초거대 AI(인공지능)' 개발사업에 뛰어들고 있는 가운데 정부도 차세대 AI 원천기술... 아울러 의사결정의 근거에 대해 사용자가 납득할 수 있는 수준의 설명이 가능한 지능과 법·윤리적으로 특정 이해당사자에게 편향되지 않고 공정한 판단이...
25,"KT, 대구교육청과 미래세대 인공지능 인재 양성",2021.05.13.,"'KT AI Tomorrow 2021' 프로젝트 수업에 참여한 한 초등학생이 자율주행키트에 전진, 멈춤, 좌·우회전을 학습하고 있다. /KT 제공 KT가 대구시교육청과 함께... 대구시교육청은 지난 3월 전국 최초로 초·중·고생들의 인공지능 이해, 활용, 윤리 함양 영역별로 이해 정도를 측정할 수 있는 학생 인증 시스템으로..."
26,"이루다 사태가 촉발한 'AI 안전' 요구 목소리…""법으로 규제를""",2021.05.13.,"지난해 12월 과학기술정보통신부가 마련한 인공지능 윤리나 로드맵, 지난 13일 발표한 '인공지능 전략', 방송통신위원회의 'AI 윤리 선언' 등은 모두 법과 제도에 의한 책임이 부여되지 않았다는 것이다. 이들은 ""기업 자율적인 윤리가 인권과 법률의 준수 의무를 회피하는 이유가 돼서는 안 된다""고 강조했다...."
27,"""보험업 AI 투자 활발...공정-투명 등 윤리문제 우려""",2021.05.13.,"과학기술정보통신부에서는 국가 인공지능 윤리기준을 제정했으며, 금융위원회는 금융분야 AI 운영 가이드라인 제정 계획을 발표한 바 있다. 윤리기준의 공통적인 주요 내용은 AI결과물의 공정성, 신뢰성, 투병성, 시스템의 안전성, 보안성, 운영자의 책임성 요구 등이며, 김 연구위원이 제시한 AI윤리기준..."
28,"SKT, 사람중심 '7대 AI 가치' 정립…사규 반영",2021.05.13.,"자문단에는 △연세대 법대 오병철 교수(윤리 법학) △서울대 법대 박상철 교수(인공지능법) △서울과학기술대 김현경 교수(지적재산권, 정보기술) △AI 사회적 기업인 테스트웍스 윤석원 대표 △카이스트 전산학부 오혜연 교수(소셜 컴퓨팅) △김윤 SKT 최고기술책임자(CTO)가 참가한다. 자문단은 정기..."
29,[고무열 박사의 선구안] 인공지능 정치의 등장과 미래,2021.05.13.,그러나 만약 인공지능이 사람이 충분히 토론하여 합의된 표준의 도덕과 윤리적인 면까지 포함하여 규범적 지침에 따라 미래의 결과까지 예측하고... 기업은 인공지능 시스템을 도입하여 회사의 중책을 수행하면서 경영진으로 활동하고 있다. 인도 정부는 공공서비스를 국민에게 더 잘 전달하기 위해 AI와 기계...
30,"한국표준협회, 엘지전자에 AI+(에이아이플러스) 인증 수여",2021.05.13.,"및 AI 윤리 요구사항에 대한 인증을 추진할 계획이다. 강명수 한국표준협회 회장은 “엘지전자가 인공지능 제품의 품질과 신뢰성을 보장하기 위한 체계를 지속적으로 유지하길 바라며 한국표준협회도 AI분야의 인증, 표준, 교육 그리고 다양한 지원사업을 통하여 양질의 인공지능 산업 생태계를..."
31,[AI교육 선도학교] 용인 서원고,2021.05.24.,"기호일보, KIHOILBO '인공지능(AI : Artificial Intelligence)'은 더 이상 생소한 용어가 아니다. 공항을 이용하기 위해 찾게 되는 서울역과 인천국제공항... 한 'AI Big Idea'를 통해 AI 사물인식 기술의 원리와 응용사례를 살피며 해당 기술의 양면성을 탐구하고, 윤리적 문제가 발생할 수 있는 AI기술 또는 서비스를..."
32,"[기자수첩] AI+인증, 똑똑함을 평가하진 않는다",2021.05.24.,최근 눈길을 끄는 건 한국표준협회(표준협회)의 ‘AI+(인공지능 플러스) 인증’이다. 이는 와이즈스톤과 한국표준협회(KSA)가 공동으로 개발한 AI... 이영석 와이즈스톤 대표는 올해 초 AI윤리 논란을 일으켰던 ‘이루다’를 언급하면서 “데이터를 학습한 AI에 사전 테스트나 데이터 정제·선별 등 품질 확인...
33,"조선대 SW중심대학사업단, 광주시교육청 AI정보영재교육원 SW·AI과정 호응",2021.05.12.,"SW·AI(인공지능) 과정 프로그램’이 참여자들의 호응을 얻고 있다. 광주광역시 AI정보영재교육원 SW·AI 과정 프로그램은 1년 과정으로, 컴퓨팅 사고력... AI이미지학습을 통한 전염병 예방수칙 사전, 화학원소 안내 사전 제작, 정보보안과 시대별 암호화 방법, 언어를 활용한 빅데이터 분석, AI윤리..."
34,"'大인공지능 시대', AI가 추구해야 할 중심 가치는?",2021.05.12.,"아마 '인공지능(AI)'의 시대라고 말할 수 있을 듯하다. 그만큼 AI는 현재 산업계와 우리 실생활 모든 분야에 빠르게 적용되고 있는 기술이기 때문이다.... 그렇다면 IT, 법률 등 각 분야 전문가들이 생각하는 AI가 추구해야 할 가치는 어떤 방향일까. ◇ 시리 개발자, ""미래 AI는 윤리 기반의 인간 중심 AI돼야..."
35,"네이버, 25일 '초대규모 AI' 새 패러다임 첫 선",2021.05.12.,"뿐만 아니라 글로벌 AI 리더십 확보를 위한 연구 생태계 조성 계획, '올바른' AI 사용을 위해 네이버가 학계와 함께 설계한 AI 윤리 준칙이 현실에서 적용되고 있는 방식도 함께 공유될 예정이다. 테크 세션을 통해서는 방대한 양의 한국어 데이터를 학습하는 과정, 검색이나 인공지능 비서를 비롯한 여러..."
36,"과기부, 신뢰할만한 AI 개발 가이드북 제작·보급 추진",2021.05.12.,있는 인공지능이 만들어질 수 있도록 2025년까지 실천과제 10가지를 제시했다. 특히 인공지능 신뢰 구현을 위한 법제도·윤리·기술적 요구사항을 종합한... 과학기술정보통신부는 13일 대통령 직속 4차산업혁명위원회 제22차 전체회의에서 사람이 중심이 되는 인공지능(AI)을 위한 '신뢰할 수 있는 인공지능...
37,[2021 학과 돋보기(6)] 인공지능(AI)학과,2021.05.13.,"이투데이=거인의어깨 엄진혁 입시컨설턴트 | 올해 4년제 대학의 경우 중앙대(AI학과), 인하대(인공지능 공학과), 상명대(지능데이터 융합학과), 서울시립대... 지능학과의 경우 미래 첨단기술 및 산업발전의 중추적이며 선도적 학문으로 자리 잡은 인공지능 분야의 창의적이며 실용적 역량을 갖춘 탁월하고 윤리적..."
38,"""AI 안전하게 이용하도록""…'신뢰할 수 있는 AI 실현전략' 마련",2021.05.13.,"앞서 인공지능 윤리기준은 '인간성을 위한 AI'를 위해 사회구성원이 지켜야 할 3대 원칙(인간 존엄성, 사회 공공선, 기술의 합목적성)과 10대 요건(책임성, 안전성, 투명성)을 제시했다. 이번 전략은 '누구나 신뢰할 수 있는 인공지능, 모두가 누릴 수 있는 인공지능 구현'을 비전으로 정하고, 2025년까지 책임있는..."
39,"안산 양지초등학교, 전학년 대상 인공지능교육 실시",2021.05.13.,"안산 양지초등학교는 전 학년을 대상으로 미래 사회 역량을 키우기 위한 인공지능(AI) 교육을 한다고 23일 밝혔다. AI 교육은 정보윤리교육, 언플러그드 활동, 피지컬 컴퓨팅 활동 등 학년 수준을 고려한 다양한 교육 활동으로 이루어진다. 교육 프로그램은 ▲1∼2학년 창의적 체험활동과 연계해..."
40,미 기업 임원들의 AI윤리를 대하는 태도 '구멍 쑹쑹'...절반 이상 인식 부족 ...,2021.05.13.,"증가하면서 그 접근법이 다양해지는 것은 긍정적이지만 남용할 가능성도 여전히 높아 우려된다""고 전했다. AI타임스 박혜섭 기자 phs@aitimes.com [관련기사] 구글, 게브루 사태 이후 새 전환점 맞나‥ AI윤리팀 인력 두 배로 늘린다 [관련기사] [한상기 칼럼] '신뢰'를 인공지능의 핵심 경쟁력으로 만들자"
41,"방통위, AI 추천 서비스가 지켜야 할 기본 원칙 공개…업계 “과도한 규제” ...",2021.05.12.,이날 방통위는 서울 서초구 더케이호텔에서 인공지능(AI) 알고리즘 기반 미디어 콘텐츠 추천 서비스에서 이용자를 보호하기 위한 기본 원칙(안)을... 인센티브와 관련해 윤 교수는 “현재 국내 대기업 중심으로 AI 윤리 강령 보고서 등을 만들고 있다”며 “기업 스스로 소비자를 확보하고자 경쟁적으로 노력하고...
42,`AI 관련 개인정보보호 자율점검표` 5월말 나온다,2021.05.12.,"(사진=개인정보보호위원회 제공)[이데일리 이후섭 기자] 개인정보보호위원회는 인공지능(AI) 서비스 개발자·운영자가 반드시 알아야 할 개인정보보호... 윤종인 개인정보위 위원장은 “최근 AI로 인한 사생활 침해 등 다양한 윤리적 이슈가 발생하고 있는데, AI 서비스 개발·운영과정에서 방대한 개인정보가..."
43,[위클리 스마트] 인공지능은 결국 인류를 위협할까,2021.05.12.,얼마 전 유럽연합(EU)에서 등장한 인공지능(AI) 법안은 한국식으로 하면 '스카이넷(터미네이터 속 만악의 근원) 방지법'으로 불릴 법하다. EU 집행위원회가... AI 시스템에는 일정한 조건 아래 다른 목적으로 수집한 개인정보를 활용할 수 있게 허용해주는 등 내용도 포함돼 있다. 우리나라에서는 아직 AI 윤리나...
44,"딥마인드, 구글에 AI 기술 자율권 요구했다 최종 실패한 사연은?",2021.05.12.,"또 최근 구글 내 엔지니어링 담당 부사장이자 '책임있는 인공지능(Responsible AI)' 총괄책임자인 마리안 크록이 ""AI윤리팀 인력을 두 배로 늘리겠다""고 밝힌 것도 긍정적으로 작용하고 있다. 구글은 현재 AI가 자율무기나 감시 등에 이용되는 것을 막기 위한 윤리 규정을 새로 마련 중이다. 기술 소유권부터..."
45,"보험연구원, '보험산업 인공지능 적용' 주제로 26일 온라인 세미나",2021.05.18.,"연사로는 이준섭 한화생명 상무(AI와 보험 비즈니스 전망), 홍성호 보험개발원 팀장(보험산업 AI 적용 현황 및 주요 이슈), 김규동 보험연구원 연구위원(보험산업의 AI 윤리문제와 윤리기준 제정 방안)이 나선다. 이어지는 패널토론에는 학계와 업계, 당국의 전문가들이 보험산업에서 인공지능과 관련해..."
46,"AI 추천 서비스 자율규제? ""기업이 왜·어떻게 지켜야 하나""",2021.05.18.,"인공지능(AI) 기반 콘텐츠 추천 서비스가 야기할 수 있는 이용자 피해를 예방하기 위한 자율 규제안에 대해, 산업계가 이를 준수하기 위한 유인 및 일부... 기업 윤리, AI 윤리 등을 감안한 추천 서비스 사용·관리에 대한 내부 규칙 제정 및 공개 등의 내용이 포함됐다. 이에 대해 윤혜선 한양대 법학전문대학원..."
47,세계각국 'AI 가이드라인' 앞다퉈 마련…국내도 잰걸음,2021.05.18.,"뉴스토마토 = 김동현 기자 | 세계 각국에서 인공지능(AI) 규제 움직임이 나타나고 있다. 유럽연합(EU)의 AI 규제안 법제화 움직임이 AI 경쟁을 벌이는... 고위험 AI의 경우 위험관리시스템 운용, 당국 보고 등 의무가 부과된다. 국내에서 AI 윤리 논의를 촉발한 AI 챗봇 '이루다'. 올초 혐오 표현 등이 논란이..."
48,[사설] 인공지능의 윤리적 문제,2021.05.14.,인공지능(AI)은 4차 산업혁명의 핵심으로 전 분야에 걸쳐 활용되며 빠르게 진화하고 있다. 과거 자본가들이 토지와 석유로 부를 축적했다면 21세기에는... 빅데이터와 AI가 핵심 기술로 떠올랐고 향후 지속해서 성장할 기술이 될 것이다. 그러나 AI가 인간 생활에 밀접하게 적용되면서 예상치 못하던 각종 윤리...
49,"SKT, ‘사람’ 중심의 AI 추구 가치 정립",2021.05.14.,"자문단에는 이번 추구 가치 제정의 자문 역할을 한 연세대 법대 오병철 교수(윤리 법학)와 서울대 법대 박상철 교수(인공지능법), 서울과학기술대 김현경 교수(지적재산권, 정보기술), AI 사회적 기업인 테스트웍스 윤석원 대표, 카이스트 전산학부 오혜연 교수(소셜 컴퓨팅), 김윤 CTO가 참가한다...."
50,건양대 'ESG' 학교 정책에 도입…친환경·사회공헌·윤리경영,2021.05.16.,"교육혁신대학은 AI(인공지능)와 접합한 환경, 기후, 윤리 교육을 강화하고 비교과과정으로 ESG 프로그램 운영 등을 한다. 경영혁신대학으로 사회적 가치실현(지역상생, 안전, 사회공헌)과 더 좋은 내일(학생소통, 노사상생, 성과배분)을 약속했고 산학혁신대학은 지역과 함께 하는 사업 발굴 등을..."
51,"정부, ‘사람이 중심되는 신뢰할 수 있는 AI 실현전략’ 마련",2021.05.15.,"앞서 인공지능 윤리기준은 '인간성을 위한 AI'를 위해 사회구성원이 지켜야 할 3대 원칙(인간 존엄성, 사회 공공선, 기술의 합목적성)과 10대 요건(책임성, 안전성, 투명성)을 제시했다. 이번 전략은 '누구나 신뢰할 수 있는 인공지능, 모두가 누릴 수 있는 인공지능 구현'을 비전으로 기술제도윤리 측면의 3대 전략과..."
52,"[인사청문회] 임혜숙 후보자 ""퍼스트 무버 되기 위한 AI 확산과 기초원천 연구...",2021.05.10.,"임혜숙 과학기술정보통신부 장관 후보자는 4일 ""디지털뉴딜 추진과 선도형(First mover) 연구개발을 위해 인공지능(AI) 확산과 기초원천 연구개발에 박차를... 보호, 인공지능 시대 윤리와 신뢰성 제고 등 4차 산업혁명 시대에 나타날 수 있는 그늘과 역기능을 최소화하기 위한 정비도 소홀히 하지 않을 것..."
53,"SK텔레콤, '사람 중심 AI' 추구 선언",2021.05.13.,SK텔레콤이 AI(인공지능) 윤리를 경영 시스템에 담았다. SK텔레콤은 13일 '사람 중심의 AI'를 핵심 이념으로 하는 AI 추구 가치 제정을 선언하며 AI 컴퍼니로의 혁신을 본격화한다고 밝혔다. SKT는 이를 기반으로 사규 반영 및 AI 서비스 체크리스트 개발 등 경영 시스템 전반에 적용하는 구체적인 방안을...
56,"정부, AI 실현 3대 전략 10대 실행과제 수립",2021.05.13.,"민간의 AI 서비스 구현을 체계적으로 지원하고, 이용자가 믿고 안전하게 사용할 수 있도록 제도를 보완하며, 사회 전반에 건전한 인공지능 윤리를 확산하는 것이 중점 방향이다. 먼저, 인공지능 제품·서비스 구현단계별 신뢰 확보 체계를 마련하기 위해 민간에서 인공지능 제품･서비스를 구현하는 단계(개발..."
57,"‘사악해지지 말자’ 구글, AI 윤리 연구 인력 2배로 늘린다",2021.05.13.,"AP뉴시스 구글이 ‘인공지능(AI) 윤리’를 강화하기 위해 담당 연구원 수를 현재 200명에서 2배인 400명으로 늘린 계획이라고 11일(현지시각) 월스트리트저널(WSJ)이 보도했다. 매리언 크로크 구글 엔지니어링 담당 부사장은 이날 WSJ가 주최한 행사에서 ""AI 기술을 개발하고 보급하는 방식에 책임을 지는 것이..."
61,SKT 사람 중심 AI 추구 가치 제정,2021.05.12.,"SK텔레콤은 ‘사람 중심의 인공지능(AI)’을 핵심으로 하는 AI 추구 가치 제정을 선언하고, AI 컴퍼니로의 혁신을 본격화한다고 13일 밝혔다. SK텔레콤이... 자문단은 정기 회의를 통해 AI 윤리 관련 이슈를 논의하고, AI 적용 시스템을 강화하는 방안을 제안할 예정이다. 또 5월과 6월 2회 개최하는 웨비나에..."
63,"SK텔레콤, '사람 중심 AI' 추구 선언...AI 기업으로 변신 본격화",2021.05.13.,"자문단에는 이번 추구 가치 제정의 자문 역할을 한 연세대 법대 오병철 교수(윤리 법학)와 서울대 법대 박상철 교수(인공지능법), 서울과학기술대 김현경 교수(지적재산권, 정보기술), AI 사회적 기업인 테스트웍스 윤석원 대표, 카이스트 전산학부 오혜연 교수(소셜 컴퓨팅), 김윤 최고기술책임자(CTO)..."
65,"""제2 이루다 사태 막자""…'AI 신뢰성' 검증기술 만든다",2021.05.13.,"과학기술정보통신부가 내년부터 오는 2026년까지 650억원 이상을 투입, 스타트업이 인공지능(AI) 신뢰성 확보가 가능하도록 원천기술과 표준 플랫폼 개발을 지원한다. AI 적용 서비스가 기술과 윤리적 기준 등 '신뢰성'을 확보했는지를 민간이 자율 인증하는 제도를 내년부터 시범 시행한다. 개인정보를 무단..."
67,"구글, AI 윤리 연구원 400명까지 늘린다…""브랜드 중대 손상""",2021.05.12.,AI 윤리란 인공지능이 윤리적으로 활용되고 인간과 공존할 수 있도록 개발·운용하는 것을 의미한다. 한국에서는 최근 '이루다'라는 챗봇이 혐오성 발언을 해 논란이 되며 AI 윤리에 대한 논란이 불거졌다. 현재 구글에서 AI의 윤리적 책임 문제를 연구하는 인원은 200명이다. 연구진 규모가 두 배가 된다면...
69,조선대 SW중심대학사업단 광주교육청 AI정보영재교육원 SW/AI과정 호응,2021.05.12.,"조선대 SW중심대학사업단이 5월부터 진행하고 있는 '2021년 광주광역시교육연구정보원부설 AI정보영재교육원 SW·AI(인공지능) 과정 프로그램'이... AI기계학습, AI이미지학습을 통한 전염병 예방수칙 사전, 화학원소 안내 사전 제작, 정보보안과 시대별 암호화 방법, 언어를 활용한 빅데이터 분석, AI윤리..."
73,‘사업 성패 가를수도’···AI 윤리 강화 나선 구글,2021.05.12.,구글이 인공지능(AI) 윤리 문제를 연구하는 인력을 2배로 늘리고 AI의 오류를 최소화하기 위해 예산 증액도 추진한다. AI 윤리에 대한 관심이 커지면서 윤리 강화가 사업의 성패를 가를 핵심 변수가 될 수 있는 만큼 문제 발생의 여지를 줄이기 위해 선제 대응에 나선 것이다. 11일(현지 시간)...
74,"SKT, `사람 중심 AI` 컴퍼니 선언",2021.05.12.,"SKT는 AI 추구 가치에 다양한 분야의 전문성을 반영하기 위해 전문가 자문단을 구성했다. 자문단에는 이번 추구 가치 제정의 자문 역할을 한 오병철 연세대 법대 교수(윤리 법학)와 박상철 서울대 법대 교수(인공지능법), 김현경 서울과학기술대 교수(지적재산권, 정보기술), 윤석원 테스트웍스 대표..."
