Unnamed: 0,제목,날짜,본문
10,"한국표준협회, 엘지전자에 AI+(에이아이플러스) 인증 수여",2021.05.25.,"AI 윤리 요구사항에 대한 인증을 추진할 계획이다. 강명수 회장은 “엘지전자가 인공지능 제품의 품질과 신뢰성을 보장하기 위한 체계를 지속적으로 유지하길 바란다”며 “한국표준협회도 AI 분야의 인증, 표준, 교육 그리고 다양한 지원사업을 통해 양질의 인공지능 산업 생태계를 만드는 데 힘을..."
11,인공지능 공동선언문,2021.05.26.,인공지능 채팅봇 [이루다] (출처: 스캐터랩) [이루다] 논란은 AI의 윤리성을 담보할 기술 수준(AI의 노예화)에 관한 쟁점과 함께 개인정보의 불법 취득과... 여성이나 장애인에게 차별적인 인공지능 스피커가 학교 교육에 이용되거나 안전이 검증되지 않은 자율주행차량이 거리를 질주할 때 우리의 미래도 위험할...
12,"씽크포비엘, 국내 첫 기술 기반 인공지능(AI) 검증 실무 교육",2021.05.13.,"있는지 교육했다. 사진=씽크포비엘 인공지능(AI) 편향과 데이터 샘플링 오류 문제의 기술적 해결 방안을 제시한 교육이 국내 최초로 실시됐다.... 최근 사회 문제로 비화한 AI 편향 문제를 놓고 윤리적·법적 해결 논의가 활발해진 상황에서, 기술적 접근을 통한 해결이 필요하다는 주장이 업계 일각에서..."
13,"KT, 대구교육청과 미래세대 인공지능 인재 양성",2021.05.13.,"'KT AI Tomorrow 2021' 프로젝트 수업에 참여한 한 초등학생이 자율주행키트에 전진, 멈춤, 좌·우회전을 학습하고 있다. /KT 제공 KT가 대구시교육청과 함께... 대구시교육청은 지난 3월 전국 최초로 초·중·고생들의 인공지능 이해, 활용, 윤리 함양 영역별로 이해 정도를 측정할 수 있는 학생 인증 시스템으로..."
14,"SKT, 사람중심 '7대 AI 가치' 정립…사규 반영",2021.05.13.,"SKT는 5월 중 AI 추구 가치를 사규에 반영해 전 구성원이 경영 활동의 근간으로 삼도록 할 예정이다. 상반기 내에 내재화를 위한 전사 교육 과정도... 자문단에는 △연세대 법대 오병철 교수(윤리 법학) △서울대 법대 박상철 교수(인공지능법) △서울과학기술대 김현경 교수(지적재산권, 정보기술) △AI..."
15,"한국표준협회, 엘지전자에 AI+(에이아이플러스) 인증 수여",2021.05.13.,"AI 윤리 요구사항에 대한 인증을 추진할 계획이다. 강명수 한국표준협회 회장은 “엘지전자가 인공지능 제품의 품질과 신뢰성을 보장하기 위한 체계를 지속적으로 유지하길 바라며 한국표준협회도 AI분야의 인증, 표준, 교육 그리고 다양한 지원사업을 통하여 양질의 인공지능 산업 생태계를 만드는..."
16,[AI교육 선도학교] 용인 서원고,2021.05.13.,"한 'AI Big Idea'를 통해 AI 사물인식 기술의 원리와 응용사례를 살피며 해당 기술의 양면성을 탐구하고, 윤리적 문제가 발생할 수 있는 AI기술 또는... AI교육의 기회를 마련했다. 'ABC 프로그램'은 각 주제별로 크게 2단계로 나뉘어 운영된다. 'AI'는 '인공지능 기초 프로그램(수학, 과학)' 및 '정보 페임랩..."
17,"정부, 2025년까지 윤리적인 AI 지원… “‘제2의 이루다' 막는다”",2021.05.13.,"신뢰 확보 기준 마련 등 10대 과제, 단계적으로 추진 정부가 2025년까지 믿을 만한 인공지능(AI) 서비스를 구현할 수 있도록 10대 과제를 추진한다. 이는... 도입 ▲AI 윤리 교육 강화 ▲AI 윤리 준수 여부를 자율적으로 점검할 수 있도록 체크리스트 개발, 보급 등을 골자로 하고 있다. 최기영 과기정통부 장관은..."
18,"조선대, 시교육청 SW·AI 프로그램 호응",2021.05.13.,"AI정보영재교육원 SW·AI(인공지능) 과정 프로그램’이 참여자들의 호응을 얻고 있다. 프로그램은 1년 과정으로, 컴퓨팅 사고력 향상을 위한 AI·SW... AI이미지학습을 통한 전염병 예방수칙 사전, 화학원소 안내 사전 제작, 정보보안과 시대별 암호화 방법, 언어를 활용한 빅데이터 분석, AI윤리, AI로봇을..."
19,"SKT, '인공지능(AI) 윤리' 경영시스템에 담았다",2021.05.13.,중심의 인공지능(AI)'을 핵심 이념으로 하는 AI 추구 가치를 공개했다. 'AI 추구 가치'란 AI를 활용해 고객에게 제공하고자 하는 가치다. 구성원이... SK텔레콤은 이달 중 AI 추구 가치를 사규에 반영해 전 구성원이 경영활동의 근간으로 삼는다. 상반기 내 전사 교육 과정을 수립해 AI 추구가치를 내재화할...
20,'이루다'가 촉발한 AI 윤리…해외 규제 현황은[차민영의 포스트IT],2021.05.13.,이웃나라인 일본 역시 2018년 인공지능 관련 이해관계자들이 유의해야 할 7대 기본 원칙을 담은 '인간 중심의 인공지능 사회 원칙'을 발표했습니다. 韓 민간 자율규제 중심 지원체계 구축 국내 기업들 중에서도 AI 윤리 관련 정책에 발맞춰 교육과 자체 기준 수립 노력을 기울이는 곳들이 있습니다. 카카오는...
21,"한국인공지능윤리협회-한국정보통신학회, AI 윤리 검인증 기준 체계·인증 가...",2021.05.13.,"/한국인공지능윤리협회 한국인공지능윤리협회(KAIEA)와 한국정보통신학회(KIICE)는 '인공지능(AI) 및 인공지능 윤리 분야의 공동 연구 협력을 위한 업무협약... 한국정보통신학회는 인공지능과 인공지능 윤리 분야에 관한 ▲공동연구, 공동조사, 상호자문 등의 연구 협력▲공동개발, 교육, 교재저술 등의 사업..."
22,"'大인공지능 시대', AI가 추구해야 할 중심 가치는?",2021.05.13.,아마 '인공지능(AI)'의 시대라고 말할 수 있을 듯하다. 그만큼 AI는 현재 산업계와 우리 실생활 모든 분야에 빠르게 적용되고 있는 기술이기 때문이다.... AI윤리 교육의 중요성도 강조했다. 오혜연 교수는 카이스트(KAIST) 전산학 교수(사진)는 'AI의 편향성'을 줄이는 것이 향후 윤리적 토대가 뒷받침되는 AI를...
23,"안산 양지초등학교, 전학년 대상 인공지능교육 실시",2021.05.13.,"안산 양지초등학교는 전 학년을 대상으로 미래 사회 역량을 키우기 위한 인공지능(AI) 교육을 한다고 23일 밝혔다. AI 교육은 정보윤리교육, 언플러그드 활동, 피지컬 컴퓨팅 활동 등 학년 수준을 고려한 다양한 교육 활동으로 이루어진다. 교육 프로그램은 ▲1∼2학년 창의적 체험활동과 연계해..."
24,"""AI 안전하게 이용하도록""…'신뢰할 수 있는 AI 실현전략' 마련",2021.05.13.,"있도록 인공지능 윤리교육 총론을 마련하고, 개발자·시민에게 맞춤형 교육도 진행할 예정이다. 개발자, 이용자 등이 업무, 일상생활 속에서 윤리 준수 여부를 자율점검을 할 수 있는 체크리스트도 개발한다. 최기영 과기부 장관은 ""최근 챗봇 사건은 우리 사회가 AI의 신뢰성에 대해 어떻게 대처해야 하는지..."
25,[2021 학과 돋보기(6)] 인공지능(AI)학과,2021.05.13.,성신여대(AI 융합학부) 등의 학교가 각기 다른 명칭으로 인공지능 교육을 위해 21학번 학생들을 선발했습니다. 과학기술부에서도 AI 인재 양성을 강조하는... 지능학과의 경우 미래 첨단기술 및 산업발전의 중추적이며 선도적 학문으로 자리 잡은 인공지능 분야의 창의적이며 실용적 역량을 갖춘 탁월하고 윤리적인...
26,"과기부, '신뢰할 수 있는 인공지능(AI) 실현전략' 발표",2021.05.14.,"최근 성차별과 소수자 차별 논란을 일으킨 인공지능(AI) 챗봇 '이루다' 사태 등 AI의 부정적 영향에 대응하기 위해 '신뢰할 수 있는 인공지능 실현전략'이... 담은 인공지능 윤리교육 총론을 마련하고, 이를 토대로 연구·개발자, 일반시민 등 맞춤형 윤리 교육을 개발·실시한다. △ 주체별 체크리스트를 마련..."
27,"구글, ‘AI 윤리’ 강화한다…담당 연구 인력 2배로",2021.05.14.,"“AI가 윤리적으로 작동하지 않으면 사업적으로도 문제” 한국도 ‘이루다 사태’ 계기로 필요성 제기 구글이 ‘인공지능(AI) 윤리’를 강화하기 위해... 구체화하는 등 관련 제도를 개선하기로 했다. 지난 2월 네이버도 AI 윤리 준칙을 마련해 발표했고, 카카오는 전 직원 대상으로 AI 윤리 교육을 실시했다. [ ]"
28,"SKT, ‘사람’ 중심의 AI 추구 가치 정립",2021.05.14.,"발전하는 AI 기술과 사회 환경에 대응하여 열린 자세로 이해관계자와 적극 협력해 AI를 선도하겠다는 의지를 반영했다.△사규 반영, 구성원 교육... 교수(윤리 법학)와 서울대 법대 박상철 교수(인공지능법), 서울과학기술대 김현경 교수(지적재산권, 정보기술), AI 사회적 기업인 테스트웍스 윤석원..."
29,[사설] 인공지능의 윤리적 문제,2021.05.13.,인공지능(AI)은 4차 산업혁명의 핵심으로 전 분야에 걸쳐 활용되며 빠르게 진화하고 있다. 과거 자본가들이 토지와 석유로 부를 축적했다면 21세기에는... 빅데이터와 AI가 핵심 기술로 떠올랐고 향후 지속해서 성장할 기술이 될 것이다. 그러나 AI가 인간 생활에 밀접하게 적용되면서 예상치 못하던 각종 윤리...
30,건양대 'ESG' 학교 정책에 도입…친환경·사회공헌·윤리경영,2021.05.13.,"교육혁신대학은 AI(인공지능)와 접합한 환경, 기후, 윤리 교육을 강화하고 비교과과정으로 ESG 프로그램 운영 등을 한다. 경영혁신대학으로 사회적 가치실현(지역상생, 안전, 사회공헌)과 더 좋은 내일(학생소통, 노사상생, 성과배분)을 약속했고 산학혁신대학은 지역과 함께 하는 사업 발굴 등을..."
31,[해외 AI대학원] ③ 인공지능의 대부 'MIT'와 AI 윤리 핵심 'UC 버클리',2021.05.13.,"인공지능의 윤리 문제는 1학년 AI 교육과정의 일부로서 인공지능의 미래 방향성을 이끌고자 하는 BAIR 연구자들의 핵심 연구 주제이다. 이 외에도, ▶하버드 대학교(Harvard University) ▶프린스턴 대학교(Princeton University) ▶캘리포니아 공과대학(California Institute of Technology) ▶워싱턴 대학교(University of..."
32,"안민석 의원, 4차산업 이끌 AI 인재양성 범정부 지원법 발의",2021.05.16.,최근 AI 인재 양성과 AI교육이 교육정책의 중요한 화두가 되고 있으나 인간 중심 AI교육을 범정부 차원에서 종합적으로 지원하는 법·제도 및 정책은 미흡한 실정이다. '인공지능교육진흥법안'에는 ▶인간 중심의 윤리적 책임을 고려한 인공지능교육을 체계적으로 추진함으로써 인공지능 시대를 주도해 나갈...
33,[기획연재]⑧ 인공지능 연구 국가 경쟁력 좌우…한양대 임종우 AI학과장,2021.05.10.,"한양대학교 ITBT관 (사진=한양대학교 일반대학원 인공지능학과) 한양대 인공지능 대학원은 AI 특화 교육ㆍ연구와 산학연 프로그램을 운영하고 있다.... 또한, AI 기술의 사회적 파급효과를 인지하여 윤리 의식을 갖고 연구에 임하는 AI 인재 양성을 추구한다. 한양대 인문학 진흥센터와 연계를 통해 AI 윤리..."
34,"[SR인공지능] ""AI의 기대와 현실, 어떤 노력이 필요한가""…전문가 한 자리에",2021.05.31.,"한정된 AI 기술의 상용화는 성공 및 확장단계에 있다""고 평가했다. 그는 ""AI가 안 좋은 곳에 쓰일 수 있는 위험도 고려해야 한다""면서 AI 윤리를... 김 대표는 ""인공지능 교육 과정도 인구가 1,000만명인 서울에 대부분 몰려있다""면서 ""지역 기업과 연계해서 해당 기업의 AI 역량을 강화하고, 일자리 창출에..."
35,"[기획연재]⑩ 코어 AI는 기본, 응용도 잡겠다...서울대 이경무 AI학과 주임교...",2021.05.31.,하는 '인공지능 아키텍처' 전성시대가 열리고 있다. AI타임스 특별취재팀은 기획 연재를 통해 인공지능대학원 정보를 독자들과 공유함으로써 교육... 국내 AI 윤리를 이끄는 기관으로 서울대인공지능정책이니셔티브(SAPI)를 꼽을 수 있다. 학생들이 SAPI와 함께할 수 있는 일도 많을까? 우리 협동과정 참여...
36,"[스탠퍼드AI대학원생 인터뷰] 학생 공동체 간 활동, 배움의 기회로 연결",2021.05.31.,"2015년 첫 시행 이후, 교육 비영리 단체 AI4ALL과의 파트너십을 나타내기 위해 Stanford AI4ALL로 명칭을 변경했다. 3주 동안 진행되는 Stanford AI4ALL은 고등학교 1학년 여성 학생들에게 교수 강의와 산업 현장 견학은 물론, 주체적인 연구 프로젝트를 통해 인공지능에 대한 폭넓은 경험을 제공한다...."
37,[기획연재]⑤ 최고의 인재를 키운다…포항공대 서영주 AI대학원장,2021.05.31.,"모두에서 인공지능대학원의 미래는 밝다고 자신했다. AI 특화 교육과정, 창의적 자율적 연구, 글로벌 역량 강화를 통해 학문적인 수월성(Professional)... 윤리철학 분야는 포스텍 인문사회학부와 협력한다. 1년간 신입생을 모집해보니 어떤가? 인공지능대학원 첫해 선정은 9월달이었다. 보통 10월에는 대학원..."
38,"서울과학기술대학교, ‘2021 대한민국 혁신기관’으로 선정",2021.05.27.,"서울과기대는 코로나19 위기, 4차 산업혁명으로 인한 산업 수요 변화 등 급변하는 상황 속에서 수요자 중심의 교육과 연구로 실사구시의 실용인재... ‘디스커버리학기제’는 4차 산업혁명의 변화에 대응해 신설된 신규 학기제로 여름방학 기간을 3개월로 확대해 프로그램 기반 코딩스쿨, AI 인공지능스쿨..."
39,"“ESG 가치, 대학 정책-학사 운영 핵심 의제로”",2021.05.12.,"이 총장은 “학생 중심의 교육혁신대학 실현을 위해 인공지능(AI)과 연계된 환경, 기후, 윤리 교육을 강화할 생각”이라며 “ESG를 실제 교과과정에 넣어 학생들이 선택할 수 있도록 할 것”이라고 밝혔다. 그는 이어 “지역혁신(RIS) 사업 등을 통해 지역과 함께하는 사업을 발굴하고 3단계 산학연 협력..."
40,"[테마캠퍼스/경희대학교] 첨단학과 신설, 약학과 6년제 개편으로 인간 중심 후...",2021.05.12.,"인공지능학과가 추구하는 인재상은 △글로벌 경쟁력을 갖춘 AI Core 인재 △AI+X 융합 능력과 실전 능력을 갖춘 인재 △인간 중심의 윤리의식을 갖춘 인재 △생태 경제학적 가치를 추구하는 인재다. 약학과가 2022학년도부터 6년제로 개편, 이론과 임상·실무 교육의 확장으로 국민 보건 향상을 위한 약학인을..."
41,'제2 이루다 없게'…AI 개발-운영 개인정보보호 자율점검표 마련,2021.05.12.,"'사생활 침해·사회적 차별없게 유의' 등 핵심원칙과 단계별 기준 제시 추가 의견 반영·상세 체크리스트 포함해 이달 말 최종 발표 인공지능(AI) 챗봇... 먼저 개인정보보호법과 개인정보보호 중심설계(PbD·Privacy by Design) 원칙, 과학기술정보통신부의 AI 윤리기준 등을 통합해 6대 핵심 원칙을 적법성·공정성..."
42,"미래학회, '미래지도사 1급 양성과정' 수강생 모집",2021.05.12.,과학기술' '미래사회 인공지능(AI) 발전과 윤리' '드론이 바꾸는 미래 세상과 직업' '미래사회 인문학과 지혜' '미래사회와 도전 정신' 등이다. 2부는 '미래사회 인재 역량 특성과 교육 변화' '미래사회 4차산업혁명과 미래 산업·직업 특성' '미래사회 기존 직업 변화' '미래사회 신규 직업 종류' '미래사회 인문 사회...
43,이철성 총장 “가르쳤으면 책임지자는 건양대 철학에 ESG 가치 접목”,2021.05.04.,"이 총장은 “학생 중심의 교육혁신대학 실현을 위해 인공지능(AI)과 연계된 환경, 기후, 윤리 교육을 강화할 생각”이라며 “ESG를 실제 교과과정에 넣어 학생들이 선택할 수 있도록 할 것”이라고 밝혔다. 그는 이어 “지역혁신(RIS) 사업 등을 통해 지역과 함께 하는 사업을 발굴하고 3단계 산학연 협력..."
44,"[전문]임혜숙 장관 후보자 ""과학기술과 ICT로 코로나 위기 극복할 것""",2021.05.04.,"저는 지난 30여 년간 디지털 전환의 핵심이 되는 초고속통신과 차세대인터넷 분야에서 기술 발전과 인력 양성에 매진해 온 연구자이자 교육자로서 결국... 보호, 인공지능 시대 윤리와 신뢰성 제고 등 4차 산업혁명 시대에 나타날 수 있는 그늘과 역기능을 최소화하기 위한 정비도 소홀히 하지 않겠습니다...."
45,[이슈분석]메타버스 활성화 과제는,2021.05.04.,"현재 서비스되는 체험형 가상현실(VR) 콘텐츠나 산업 현장 증강현실(AR) 활용 서비스, 가상공간을 활용한 전시·교육, 가상세계에서의 가상자산 거래 등... 김 본부장은 메타버스 역시 많은 부분을 인공지능(AI)에 바탕을 둘 것이기 때문에 최근 '이루다' 사태처럼 AI 윤리, 프라이버시 침해 등에 대해서 어떻게..."
46,[질문하는 기자들Q] 김태현 스토킹 살인…언론은 무엇을 쫓았나?,2021.05.04.,"그리고 잠시 후 에서는 기자 대신 기자를 쓰는 인공지능 로봇, AI 저널리즘의 현주소를 짚어볼 텐데요. 많은 기대 부탁드립니다. 오늘 함께 할 분들 먼저... 또 신문윤리실천요강을 보면 선정적이거나 자극적인 표현을 사용해서 안 된다고 나와 있습니다. 그러니까 이렇게 큰 틀에서는 분명히 기준이 있는데 사실은..."
47,[권호천의 ICT 인사이트] 미래전 기술에 뛰어든 ICT 거대기업 마이크로소프트...,2021.05.13.,마지막 글은 국방 분야에 진출한 MS가 마주할 기술 윤리적 관점에서의 해결책과 방위산업 최대 기업인 록히드마틴과의 경쟁적 미래를 논의한다. ①... 그리고 정제된 데이터를 최종적으로 인공지능(AI)에 전달해 응용할 수 있게 하는 저장과 연결의 중요한 도구이다. 이 서비스 구조를 머릿속으로 간단하게...
48,[발언대]양심으로 미래를 대비하자,2021.05.13.,"생활방식, 문화, 예술, 교육, 비즈니스, 여행 등 사회 모든 분야에서 혁명 같은 변화가 기다리고 있다. 한국국제미래학회 안종배 회장은 그의 저서... 미래의 역사 구성에는 과거에 대한 깊은 고찰, 정확한 현재분석, 주의 깊은 상상력, 인류애와 윤리의식 등이 요구된다'고 하였다. 인공지능(AI)이 인류전체의 지능을..."
49,"[핵심은] 연인들 내밀한 대화 유출한 ‘이루다’, 1억 과징금으로 끝?",2021.05.04.,"변화무쌍한 AI 산업 특성상 큰 틀 안에서 끊임없이 자성과 보완이 이뤄져야 할 것이다. 실제 지난해 11월 과학기술정보통신부와 정보통신정채견구원(KISDI)이 국가 ‘인공지능 윤리기준안’을 내놓은 바 있다. 크게 인간의 존엄성과 사회 공공선, 기술의 합목적성을 핵심 원칙으로 내세웠다. 문제는 지나치게..."
50,인천대 현장맞춤형 실전문제연구단 제5기 연구팀 발대식,2021.05.04.,"2017년도부터 시작된 본 사업은 바이오, 인공지능, 빅데이터 등 연구 분야를 중심으로 산업체 및 지역사회로부터 도출된 연구주제 수행을 위한... 연구 윤리 의식 제고를 위한 교육이 함께 실시됐다. 연구단은 5년차를 맞이해 산학협력 기반 지역 문제 해결 연구와 교육 컨텐츠의 축적과 공유 ▲4년 축적..."
51,인천대 현장맞춤형 실전문제연구단 5기 연구팀 발대식,2021.05.04.,"2017년도부터 시작된 이번 사업은 바이오, 인공지능, 빅데이터 등 연구 분야를 중심으로 산업체 및 지역사회로부터 도출된 연구주제 수행을 위한... 연구 윤리 의식 제고를 위한 교육이 함께 실시됐다. 연구단 측은 5년차를 맞이해 더욱 성숙된 연구 성과가 기대되며△산학협력 기반 지역 문제 해결 연구..."
52,"[창간특집/ESG·공정·상생] ""모든 것은 이어졌다""…IT 기업 ESG 고리 만들기",2021.05.03.,이들은 '디지털 책임감'을 ESG 경영 핵심으로 두고 인공지능(AI) 사업에 필요한 윤리교육을 전직원을 대상으로 진행 한다. 환경경영 실천을 위한 국제 표준 인증 획득도 '디지털 책임감'과 연관된 활동으로 분석된다. IT 기업들이 IDC 구축에 집중하는 만큼 건축 시 저탄소 배출을 통한 환경 보호에 집중한다는...
53,"""한국인들 과학에 '겸손'…자신감 가질 때 됐다""",2021.05.03.,"아니라 인공지능(AI) 같은 기술의 발전으로 인해 생기는 윤리적인 문제 등도 같이 다뤄주면서 저변을 넓혀 나가는 게 우리의 역할""이라고 설명했다.... 조 이사장은 '계산기를 쓰지 않는' 수학 교육에 대한 소신도 밝혔다. 그는 ""일부 선진국들은 20여 년 전부터 학생들이 계산기를 쓰고 수학 시험을 보지만..."
54,'AI 컴퍼니' 전환 본격화하는 SKT…'사람' 중심 AI 가치 정립,2021.05.13.,"지난 2월 'AI 윤리'를 주제로 한 세미나에 구성원들이 온라인으로 참여하고 있다./ SKT 인공지능(AI) 기업으로 전환에 나선 SK텔레콤이 AI 추구 가치를... 걸음""이라며, ""AI 서비스가 불특정 다수가 참여하는 초연결 서비스로 불완전성을 숙명으로 하는 특성이 있는 만큼 내부 교육, PLM 정립, 체크리스트 수립 등..."
55,개발과정서 윤리문제 진단… AI 신뢰 확보 기준 만든다,2021.05.13.,"정부가 오는 2025년까지 신뢰 가능한 AI(인공지능) 환경을 조성한다. 안전한 AI 활용 기반을 마련해 사회 전반에 건전한 AI 의식을 확산시키고 AI 강국으로... AI 윤리교육 총론을 마련하고 이를 토대로 연구·개발자, 일반시민 등 맞춤형 윤리 교육을 개발·실시한다. 이 밖에 윤리 준수 여부를 자율점검을 할 수..."
56,"과기부, 인공지능 인증제 도입하고 개발 가이드북 보급한다",2021.05.13.,"인공지능(AI) 제품 등에 대한 민간 인증제가 도입된다. 학습용 데이터의 신뢰성을 높이기 위한 표준 기준도 제시된다. 과학기술정보통신부는 13일 대통령... 담은 인공지능 윤리교육 총론을 마련한다. 이를 토대로 연구·개발자, 일반시민 등 맞춤형 윤리 교육을 개발·실시한다. 인공지능 윤리기준에 대한..."
57,"SK텔레콤, '사람 중심 AI' 가치 제정...AI 기업 혁신 본격화",2021.05.13.,"SK텔레콤은 5월 중 AI 추구 가치를 사규에 반영해 전 구성원이 경영활동의 근간으로 삼도록 하고, 상반기 내 전사 교육 과정을 수립해 AI 추구가치를... 교수(윤리 법학)와 서울대 법대 박상철 교수(인공지능법), 서울과학기술대 김현경 교수(지적재산권, 정보기술), AI 사회적 기업인 테스트웍스 윤석원..."
58,"AI 신뢰성 확보한다… 정부, ‘사람 중심 AI 실현 전략’ 발표",2021.05.13.,"최근 인공지능(AI) 챗봇 ‘이루다’가 점화시킨 인공지능 윤리 관련 논의에 정부가 가이드라인을 제시했다. 스타트업 등에 대한 지원과 신뢰성 확보를... 담은 인공지능 윤리교육 총론을 마련하고, 이를 토대로 연구·개발자, 일반시민 등 맞춤형 윤리 교육을 개발·실시한다. 인공지능 윤리기준에 대한 구체적인..."
64,"SKT, ‘사람 중심' AI 추구 가치 정립…전사 프로세스 반영",2021.05.13.,"SK텔레콤은 5월 중 AI 추구 가치를 사규에 반영해 전 구성원이 경영활동의 근간으로 삼도록 하고, 상반기 내 전사 교육 과정을 수립해 AI 추구가치를... 교수(윤리 법학)와 박상철 서울대 법대 교수(인공지능법), 김현경 서울과학기술대 교수(지적재산권, 정보기술), AI 사회적 기업인 테스트웍스 윤석원 대표..."
65,"SKT, 경영 시스템에 'AI 윤리' 담는다…'사람' 중심 AI 추구 가치 정립",2021.05.13.,"SKT는 5월 중 AI 추구 가치를 사규에 반영하여 전 구성원이 경영활동의 근간으로 삼도록 하고, 상반기 내 전사 교육 과정을 수립하여 AI 추구가치를... 교수(윤리 법학)와 서울대 법대 박상철 교수(인공지능법), 서울과학기술대 김현경 교수(지적재산권, 정보기술), AI 사회적 기업인 테스트웍스 윤석원 대표..."
66,"정부, '제2의 이루다 사태' 근절한다... AI 신뢰성 확보 전략 추진",2021.05.13.,뉴데일리 김동준 기자 = 정부가 혐오 발언 및 개인정보 유출 등의 이슈로 논란이 된 인공지능(AI) 챗봇 '이루다' 사태의 재발을 방지하기 위해 '신뢰할 수... 인공지능 간 상호작용 등 사회·인문학적 관점과 윤리 기준의 사회 실천을 인식할 수 있는 내용을 담은 인공지능 윤리교육 총론도 마련된다. 이를 토대로...
